Energy(keV)	Counts
256,282	7866
256,508	7912
256,734	8166
256,960	8090
257,186	7858
257,412	8070
257,638	7841
257,864	7999
258,090	7900
258,317	7796
258,543	7944
258,769	7753
258,995	8003
259,221	7836
259,447	7920
259,673	7951
259,899	7980
260,125	7904
260,351	7852
260,577	7796
260,803	7672
261,030	7782
261,256	7983
261,482	7655
261,708	7759
261,934	7840
262,160	7881
262,386	7944
262,612	7804
262,838	7884
263,064	8028
263,290	7878
263,516	7938
263,743	7759
263,969	7934
264,195	7679
264,421	7699
264,647	7664
264,873	7876
265,099	7672
265,325	7663
265,551	7719
265,777	7722
266,003	7514
266,229	7726
266,456	7864
266,682	7809
266,908	7657
267,134	7781
267,360	7663
267,586	7619
267,812	7638
268,038	7451
268,264	7474
268,490	7599
268,716	7323
268,942	7454
269,169	7703
269,395	7311
269,621	7475
269,847	7280
270,073	7344
270,299	7337
270,525	7495
270,751	7246
270,977	7123
271,203	7191
271,429	7157
271,655	7124
271,882	6973
272,108	7025
272,334	6993
272,560	7117
272,786	7071
273,012	7168
273,238	7147
273,464	7002
273,690	7202
273,916	7113
274,142	7068
274,369	7081
274,595	7119
274,821	7056
275,047	7185
275,273	6975
275,499	7128
275,725	6921
275,951	7137
276,177	6997
276,403	7000
276,629	7005
276,855	6823
277,082	7026
277,308	6974
277,534	6866
277,760	6964
277,986	6922
278,212	7085
278,438	7090
278,664	7010
278,890	6975
279,116	6985
279,342	7036
279,568	7071
279,795	6944
280,021	6849
280,247	6968
280,473	6881
280,699	6840
280,925	6842
281,151	6915
281,377	7068
281,603	6800
281,829	6793
282,055	6834
282,281	6855
282,508	7031
282,734	6836
282,960	6917
283,186	6919
283,412	6976
283,638	6938
283,864	6941
284,090	6878
284,316	6852
284,542	6810
284,768	6877
284,994	6776
285,221	6686
285,447	6915
285,673	6859
285,899	6878
286,125	6803
286,351	6718
286,577	6785
286,803	6672
287,029	6796
287,255	6845
287,481	6892
287,707	6712
287,934	6751
288,160	6782
288,386	6672
288,612	6781
288,838	6812
289,064	6829
289,290	6826
289,516	6845
289,742	6669
289,968	6756
290,194	6742
290,420	6656
290,647	6858
290,873	6871
291,099	6777
291,325	6631
291,551	6880
291,777	6788
292,003	6733
292,229	6677
292,455	6839
292,681	6823
292,907	6770
293,134	6746
293,360	6747
293,586	6651
293,812	6587
294,038	6691
294,264	6692
294,490	6711
294,716	6563
294,942	6513
295,168	6624
295,394	6578
295,620	6596
295,847	6541
296,073	6667
296,299	6608
296,525	6647
296,751	6607
296,977	6620
297,203	6604
297,429	6632
297,655	6545
297,881	6544
298,107	6658
298,333	6581
298,560	6556
298,786	6546
299,012	6558
299,238	6438
299,464	6557
299,690	6479
299,916	6446
300,142	6496
300,368	6657
300,594	6634
300,820	6564
301,046	6695
301,273	6645
301,499	6540
301,725	6508
301,951	6564
302,177	6369
302,403	6349
302,629	6451
302,855	6335
303,081	6367
303,307	6481
303,533	6460
303,759	6383
303,986	6496
304,212	6577
304,438	6678
304,664	6737
304,890	6656
305,116	6417
305,342	6639
305,568	6305
305,794	6257
306,020	6313
306,246	6359
306,472	6198
306,699	6259
306,925	6175
307,151	6249
307,377	6365
307,603	6250
307,829	6299
308,055	6185
308,281	6249
308,507	6277
308,733	6337
308,959	6150
309,185	6058
309,412	6162
309,638	6183
309,864	6230
310,090	6014
310,316	6205
310,542	6279
310,768	6235
310,994	6180
311,220	6451
311,446	6551
311,672	6420
311,898	6478
312,125	6345
312,351	6449
312,577	6285
312,803	6217
313,029	6093
313,255	6215
313,481	6131
313,707	6195
313,933	6155
314,159	6067
314,385	6277
314,612	6326
314,838	6221
315,064	6415
315,290	6191
315,516	6355
315,742	6193
315,968	6086
316,194	6168
316,420	6087
316,646	6256
316,872	6040
317,098	6015
317,325	6075
317,551	6176
317,777	5974
318,003	6029
318,229	6199
318,455	6012
318,681	6145
318,907	6071
319,133	6110
319,359	6166
319,585	6430
319,811	6755
320,038	7446
320,264	8057
320,490	8590
320,716	9104
320,942	8767
321,168	8430
321,394	7914
321,620	7645
321,846	7229
322,072	6880
322,298	6488
322,524	6360
322,751	6117
322,977	6066
323,203	6050
323,429	6061
323,655	6092
323,881	5970
324,107	6054
324,333	5974
324,559	5961
324,785	6036
325,011	5985
325,237	5931
325,464	6048
325,690	5886
325,916	6107
326,142	5943
326,368	5982
326,594	5851
326,820	5927
327,046	5982
327,272	5999
327,498	5869
327,724	6034
327,950	5989
328,177	6002
328,403	5965
328,629	6017
328,855	6105
329,081	6063
329,307	6189
329,533	6178
329,759	6061
329,985	6097
330,211	5941
330,437	5991
330,663	5948
330,890	6020
331,116	6020
331,342	5977
331,568	6018
331,794	5895
332,020	5904
332,246	5885
332,472	5962
332,698	5883
332,924	5998
333,150	5868
333,377	5917
333,603	5968
333,829	5919
334,055	6036
334,281	6030
334,507	5918
334,733	5965
334,959	6031
335,185	6002
335,411	5949
335,637	5929
335,863	5856
336,090	5895
336,316	5831
336,542	5919
336,768	5893
336,994	5988
337,220	5983
337,446	5909
337,672	5978
337,898	6011
338,124	5885
338,350	5969
338,576	6070
338,803	5841
339,029	5886
339,255	5894
339,481	6044
339,707	5897
339,933	5972
340,159	5948
340,385	5898
340,611	5838
340,837	6052
341,063	5930
341,289	5983
341,516	5981
341,742	5983
341,968	5887
342,194	5937
342,420	5920
342,646	5955
342,872	5862
343,098	5862
343,324	5917
343,550	5752
343,776	5956
344,002	5986
